,,,,,,,,,,,,
,,,,Order: #6512592  -  Ship Date:  6/17/2021,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1177295 - BSA GRIZZLY CAMP,,,,,"  Est. Total: $6,379.05",,,,,,
,LABRANT ROAD,,,,,  Lines: 99    Pieces: 162,,,,,,
,LABRANT ROAD,,,,,,,,,,,
,,,,,,  Status: Draft,,,,,,
,"BIGFORK ,  MT   59911-6291",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,  Export Date: 6/15/2021,,,,,,,,,,,
,,,,,,,,,,,,
,Number,Product Name,,,Brand,,Pack/Size,Non-Stock,Price,Per LB,Each,QTY Ord
,38158,KETCHUP FANCY 33% FOIL PACKET,,,MONARCH,,1000/9GR,,$23.17,,N,1
,23863,MAYONNAISE SINGLE SERVE POUCH,,,MONARCH,,200/12GR,,$15.48,,N,2
,20537,BAG FOOD 1QT 7X8 1.75ML ZIP SEAL PLASTIC,,,MONOGRAM,,1/500,,$87.47,,N,1
,30410,BAG FOOD 1GL 10X11 1.75ML ZIP SEAL PLASTIC,,,MONOGRAM,,1/250,,$61.82,,N,1
,431035,GLOVE VINYL LARGE POWDER FREE,,,JOB SELECT,,10/100,,$129.84,,N,1
,383847,LID 8-32Z CONTAINER DELI ROUND CLEAR,,,PRIME SOURCE,,1/500CT,,$67.97,,N,1
,473439,EGGS HARD COOKED PILLOW PACK,,,GLENVIEW FARMS,,12/12CT,,$34.34,,N,1
,474011,EGGS PASTEURIZED WITH CITRIC ACID ESL,,,GLENVIEW FARMS,,15/2#,,$50.52,,N,6
,602191,SAUSAGE BULK BREAKFAST,,,FARMLAND,,2/6#,,$27.49,,N,1
,24794,DRINK MIX LEMONADE 2GL YIELD PWD REDUCED CALORIE,,,THIRSTER,,12/8.6Z,,$18.07,,N,2
,29072,DRINK MIX FRUIT PUNCH 2GL YIELD PWD REDUCED CALORIE,,,THIRSTER,,12/8.6Z,,$18.07,,N,2
,646404,BISCUIT BUTTERMILK 3.25 INCH UNSLICED BAKED FROZEN USFSCOOP,,,CHEF'S LINE,,75/3Z,,$38.96,,N,3
